id,session_id,total_events,started_at,finished_at,inserted_at
1000020355544,1000000160980,1,2019-01-05 00:52:13.932000000,2019-01-05 00:52:13.932000000,2019-01-05 00:52:15.370000000
1000020355546,1000000162951,1,2019-01-05 00:52:14.394000000,2019-01-05 00:52:14.394000000,2019-01-05 00:52:15.760000000
1000020355548,1000000173038,1,2019-01-05 00:52:13.857000000,2019-01-05 00:52:13.857000000,2019-01-05 00:52:15.720000000
1000020355554,1000000162969,1,2019-01-05 00:52:15.609000000,2019-01-05 00:52:15.609000000,2019-01-05 00:52:20.294000000
1000020355557,1000000174028,1,2019-01-05 00:52:15.340000000,2019-01-05 00:52:15.340000000,2019-01-05 00:52:20.226000000
1000020355563,1000000160962,1,2019-01-05 00:52:15.427000000,2019-01-05 00:52:15.427000000,2019-01-05 00:52:20.170000000
1000020355571,1000000156893,1,2019-01-05 00:52:16.580000000,2019-01-05 00:52:16.580000000,2019-01-05 00:52:20.750000000
1000020355575,1000000157985,1,2019-01-05 00:52:16.313000000,2019-01-05 00:52:16.313000000,2019-01-05 00:52:20.500000000
1000020355576,1000000175001,1,2019-01-05 00:52:16.664000000,2019-01-05 00:52:16.664000000,2019-01-05 00:52:20.540000000
1000020355580,1000000171055,1,2019-01-05 00:52:16.609000000,2019-01-05 00:52:16.609000000,2019-01-05 00:52:20.192000000
1000020355581,1000000170030,1,2019-01-05 00:52:16.844000000,2019-01-05 00:52:16.844000000,2019-01-05 00:52:20.106000000
1000020355582,1000000163950,1,2019-01-05 00:52:16.938000000,2019-01-05 00:52:16.938000000,2019-01-05 00:52:20.265000000
1000020355585,1000000174025,1,2019-01-05 00:52:14.764000000,2019-01-05 00:52:14.764000000,2019-01-05 00:52:15.350000000
1000020355587,1000000161939,1,2019-01-05 00:52:17.305000000,2019-01-05 00:52:17.305000000,2019-01-05 00:52:20.510000000
1000020355595,1000000172057,1,2019-01-05 00:52:17.895000000,2019-01-05 00:52:17.895000000,2019-01-05 00:52:20.145000000
1000020355609,1000000163941,1,2019-01-05 00:52:18.937000000,2019-01-05 00:52:18.937000000,2019-01-05 00:52:20.149000000
1000020355612,1000000164887,1,2019-01-05 00:52:19.600000000,2019-01-05 00:52:19.600000000,2019-01-05 00:52:20.580000000
1000020355614,1000000175012,1,2019-01-05 00:52:19.336000000,2019-01-05 00:52:19.336000000,2019-01-05 00:52:20.117000000
1000020355619,1000000164915,1,2019-01-05 00:52:19.659000000,2019-01-05 00:52:19.659000000,2019-01-05 00:52:20.550000000
1000020355620,1000000175016,1,2019-01-05 00:52:19.667000000,2019-01-05 00:52:19.667000000,2019-01-05 00:52:20.118000000
1000020355621,1000000170050,1,2019-01-05 00:52:19.702000000,2019-01-05 00:52:19.702000000,2019-01-05 00:52:20.590000000
1000020355622,1000000165848,1,2019-01-05 00:52:19.764000000,2019-01-05 00:52:19.764000000,2019-01-05 00:52:20.590000000
1000020355623,1000000174011,1,2019-01-05 00:52:19.947000000,2019-01-05 00:52:19.947000000,2019-01-05 00:52:20.118000000
1000020355626,1000000164911,1,2019-01-05 00:52:20.170000000,2019-01-05 00:52:20.170000000,2019-01-05 00:52:25.620000000
1000020355627,1000000167825,1,2019-01-05 00:52:20.113000000,2019-01-05 00:52:20.113000000,2019-01-05 00:52:25.191000000
1000020355630,1000000163921,1,2019-01-05 00:52:20.647000000,2019-01-05 00:52:20.647000000,2019-01-05 00:52:25.133000000
1000020355631,1000000174020,21,2019-01-05 00:52:20.876000000,2019-01-05 00:53:17.971000000,2019-01-05 00:53:20.115000000
1000020355633,1000000174037,1,2019-01-05 00:52:20.841000000,2019-01-05 00:52:20.841000000,2019-01-05 00:52:25.103000000
1000020355637,1000000168781,1,2019-01-05 00:52:21.100000000,2019-01-05 00:52:21.100000000,2019-01-05 00:52:25.880000000
1000020355638,1000000166963,1,2019-01-05 00:52:21.320000000,2019-01-05 00:52:21.320000000,2019-01-05 00:52:25.135000000
1000020355648,1000000171063,1,2019-01-05 00:52:22.780000000,2019-01-05 00:52:22.780000000,2019-01-05 00:52:25.350000000
1000020355649,1000000171010,1,2019-01-05 00:52:22.810000000,2019-01-05 00:52:22.810000000,2019-01-05 00:52:25.164000000
1000020355652,1000000156935,1,2019-01-05 00:52:22.570000000,2019-01-05 00:52:22.570000000,2019-01-05 00:52:25.360000000
1000020355660,1000000170061,1,2019-01-05 00:52:23.310000000,2019-01-05 00:52:23.310000000,2019-01-05 00:52:25.910000000
1000020355671,1000000163926,1,2019-01-05 00:52:24.248000000,2019-01-05 00:52:24.248000000,2019-01-05 00:52:25.140000000
1000020355673,1000000163898,1,2019-01-05 00:52:24.309000000,2019-01-05 00:52:24.309000000,2019-01-05 00:52:25.259000000
1000020355679,1000000162990,1,2019-01-05 00:52:24.920000000,2019-01-05 00:52:24.920000000,2019-01-05 00:52:25.229000000
1000020355684,1000000173013,1,2019-01-05 00:52:25.211000000,2019-01-05 00:52:25.211000000,2019-01-05 00:52:30.310000000
1000020355685,1000000167822,1,2019-01-05 00:52:25.227000000,2019-01-05 00:52:25.227000000,2019-01-05 00:52:30.134000000
1000020355689,1000000167849,1,2019-01-05 00:52:25.416000000,2019-01-05 00:52:25.416000000,2019-01-05 00:52:30.214000000
1000020355694,1000000172055,1,2019-01-05 00:52:26.180000000,2019-01-05 00:52:26.180000000,2019-01-05 00:52:30.133000000
1000020355702,1000000174030,16,2019-01-05 00:52:26.452000000,2019-01-05 00:53:08.623000000,2019-01-05 00:53:10.303000000
1000020355717,1000000161966,2,2019-01-05 00:52:25.650000000,2019-01-05 00:52:27.626000000,2019-01-05 00:52:30.307000000
1000020355718,1000000172040,1,2019-01-05 00:52:25.680000000,2019-01-05 00:52:25.680000000,2019-01-05 00:52:30.182000000
1000020355719,1000000164899,1,2019-01-05 00:52:25.107000000,2019-01-05 00:52:25.107000000,2019-01-05 00:52:30.103000000
1000020355724,1000000164887,1,2019-01-05 00:52:28.242000000,2019-01-05 00:52:28.242000000,2019-01-05 00:52:30.226000000
1000020355726,1000000168792,1,2019-01-05 00:52:28.226000000,2019-01-05 00:52:28.226000000,2019-01-05 00:52:30.280000000
1000020355730,1000000164918,1,2019-01-05 00:52:28.671000000,2019-01-05 00:52:28.671000000,2019-01-05 00:52:30.110000000
1000020355740,1000000168753,1,2019-01-05 00:52:29.230000000,2019-01-05 00:52:29.230000000,2019-01-05 00:52:30.310000000
1000020355745,1000000167819,1,2019-01-05 00:52:29.590000000,2019-01-05 00:52:29.590000000,2019-01-05 00:52:30.258000000
1000020355746,1000000161946,2,2019-01-05 00:52:29.287000000,2019-01-05 00:52:29.525000000,2019-01-05 00:52:30.248000000
1000020355759,1000000156962,1,2019-01-05 00:52:31.730000000,2019-01-05 00:52:31.730000000,2019-01-05 00:52:35.186000000
1000020355764,1000000169092,1,2019-01-05 00:52:31.446000000,2019-01-05 00:52:31.446000000,2019-01-05 00:52:35.262000000
1000020355769,1000000164911,1,2019-01-05 00:52:32.165000000,2019-01-05 00:52:32.165000000,2019-01-05 00:52:35.350000000
1000020355774,1000000173033,1,2019-01-05 00:52:32.478000000,2019-01-05 00:52:32.478000000,2019-01-05 00:52:35.610000000
1000020355781,1000000173027,1,2019-01-05 00:52:32.606000000,2019-01-05 00:52:32.606000000,2019-01-05 00:52:35.279000000
1000020355782,1000000163926,1,2019-01-05 00:52:33.108000000,2019-01-05 00:52:33.108000000,2019-01-05 00:52:35.770000000
1000020355783,1000000174012,1,2019-01-05 00:52:33.244000000,2019-01-05 00:52:33.244000000,2019-01-05 00:52:35.197000000
